   10000.0000       6.1100000888300911E-022
   10471.2852       6.2231082943199840E-022
   10964.7822       6.3415478175602352E-022
   11481.5361       6.4543327161752802E-022
   12022.6445       6.5645289232479486E-022
   12589.2539       6.6843382668328360E-022
   13182.5674       6.8192656882813510E-022
   13803.8428       6.9449992628867789E-022
   14454.3975       7.0759421907495566E-022
   15135.6123       7.2171225403599984E-022
   15848.9316       7.3510631046030323E-022
   16595.8691       7.4854754423712805E-022
   17378.0078       7.6263346431391376E-022
   18197.0078       7.7650234448672337E-022
   19054.6074       7.9147371865736300E-022
   19952.6230       8.0584198186636218E-022
   20892.9609       8.2088735725494819E-022
   21877.6172       8.3610862516424473E-022
   22908.6758       8.5204318170529769E-022
   23988.3301       8.6758470092389154E-022
   25118.8652       8.8270827639007766E-022
   26302.6797       8.9872943559001592E-022
   27542.2871       9.1571676647710059E-022
   28840.3145       9.3248377921935257E-022
   30199.5176       9.4874425627480677E-022
   31622.7773       9.6564547623369085E-022
   33113.1133       1.0350967087344345E-021
   34673.6836       1.7676467535332782E-021
   36307.8047       1.9497128037616432E-021
   38018.9414       2.3137603824955144E-021
   39810.7188       2.9149122797360186E-021
   41686.9375       3.7968676044148757E-021
   43651.5820       5.0730262017542199E-021
   45708.8203       6.9101884531811124E-021
   47863.0078       9.4237948374427563E-021
   50118.7227       1.2737690551304879E-020
   52480.7461       1.7155073674342685E-020
   54954.0859       2.2956661986999547E-020
   57543.9922       3.0458459162727032E-020
   60255.9570       4.0123310596186895E-020
   63095.7344       5.2072094995462958E-020
   66069.3438       6.6651032875512835E-020
   69183.0938       8.4402345226119012E-020
   72443.5938       1.0578859726162393E-019
   75857.7578       1.3043318711602655E-019
   79432.8203       1.5831256680476859E-019
   83176.3750       1.9143139250503620E-019
   87096.3594       2.2798453777484954E-019
   91201.0859       2.6992414834673015E-019
   95499.2578       3.1542962625969363E-019
   100000.000       3.6164285789861264E-019
   104712.852       4.1509678059882960E-019
   109647.820       4.7848079563436033E-019
   114815.359       5.4378431542580922E-019
   120226.445       6.1094378812692134E-019
   125892.539       6.8271048236427492E-019
   131825.672       7.5449782812516432E-019
   138038.422       8.3352142292109210E-019
   144543.984       9.2181118789614531E-019
