  0.8265655181E-004  0.3946207966E-002
  0.6608609764E-003  0.1576925931E-001
  0.2228205612E-002  0.3542249780E-001
  0.5274379443E-002  0.6282836768E-001
  0.1028323569E-001  0.9787871969E-001
  0.1773088241E-001  0.1404352379E+000
  0.2808380370E-001  0.1903299853E+000
  0.4179701882E-001  0.2473660669E+000
  0.5931228664E-001  0.3113184066E+000
  0.8105636232E-001  0.3819346350E+000
  0.1074393133E+000  0.4589360858E+000
  0.1388529009E+000  0.5420188954E+000
  0.1756690348E+000  0.6308552016E+000
  0.2182383048E+000  0.7250944378E+000
  0.2668885978E+000  0.8243647166E+000
  0.3219238037E+000  0.9282742967E+000
  0.3836226161E+000  0.1036413129E+001
  0.4522374328E+000  0.1148354476E+001
  0.5279933595E+000  0.1263656593E+001
  0.6110873217E+000  0.1381864475E+001
  0.7016872872E+000  0.1502511647E+001
  0.7999316038E+000  0.1625122012E+001
  0.9059284532E+000  0.1749211724E+001
  0.1019755424E+001  0.1874291099E+001
  0.1141459204E+001  0.1999866546E+001
  0.1271055401E+001  0.2125442521E+001
  0.1408528474E+001  0.2250523473E+001
  0.1553831801E+001  0.2374615808E+001
  0.1706887857E+001  0.2497229830E+001
  0.1867588526E+001  0.2617881680E+001
  0.2035795524E+001  0.2736095241E+001
  0.2211340946E+001  0.2851404017E+001
  0.2394027926E+001  0.2963352975E+001
  0.2583631417E+001  0.3071500343E+001
  0.2779899079E+001  0.3175419347E+001
  0.2982552274E+001  0.3274699902E+001
  0.3191287162E+001  0.3368950226E+001
  0.3405775908E+001  0.3457798387E+001
  0.3625667968E+001  0.3540893773E+001
  0.3850591476E+001  0.3617908472E+001
  0.4080154712E+001  0.3688538568E+001
  0.4313947644E+001  0.3752505339E+001
  0.4551543552E+001  0.3809556360E+001
  0.4792500707E+001  0.3859466494E+001
  0.5036364116E+001  0.3902038788E+001
  0.5282667317E+001  0.3937105241E+001
  0.5530934221E+001  0.3964527473E+001
  0.5780680988E+001  0.3984197272E+001
  0.6031417941E+001  0.3996037016E+001
  0.6282651493E+001  0.3999999982E+001
  0.6533886098E+001  0.3996070533E+001
  0.6784626206E+001  0.3984264174E+001
  0.7034378219E+001  0.3964627496E+001
  0.7282652438E+001  0.3937237989E+001
  0.7528964994E+001  0.3902203739E+001
  0.7772839761E+001  0.3859662997E+001
  0.8013810234E+001  0.3809783638E+001
  0.8251421365E+001  0.3752762496E+001
  0.8485231367E+001  0.3688824589E+001
  0.8714813451E+001  0.3618222229E+001
  0.8939757511E+001  0.3541234027E+001
  0.9159671746E+001  0.3458163796E+001
  0.9374184203E+001  0.3369339347E+001
  0.9582944245E+001  0.3275111200E+001
  0.9785623935E+001  0.3175851199E+001
  0.9981919332E+001  0.3071951045E+001
  0.1017155169E+002  0.2963820749E+001
  0.1035426854E+002  0.2851887016E+001
  0.1052984474E+002  0.2736591559E+001
  0.1069808329E+002  0.2618389359E+001
  0.1085881616E+002  0.2497746866E+001
  0.1101190494E+002  0.2375140161E+001
  0.1115724139E+002  0.2251053074E+001
  0.1129474785E+002  0.2125975280E+001
  0.1142437756E+002  0.2000400361E+001
  0.1154611486E+002  0.1874823862E+001
  0.1165997521E+002  0.1749741334E+001
  0.1176600518E+002  0.1625646379E+001
  0.1186428223E+002  0.1503028701E+001
  0.1195491440E+002  0.1382372175E+001
  0.1203803991E+002  0.1264152938E+001
  0.1211382661E+002  0.1148837505E+001
  0.1218247131E+002  0.1036880937E+001
  0.1224419899E+002  0.9287250370E+000
  0.1229926193E+002  0.8247966108E+000
  0.1234793872E+002  0.7255057816E+000
  0.1239053315E+002  0.6312443716E+000
  0.1242737300E+002  0.5423843559E+000
  0.1245880876E+002  0.4592763947E+000
  0.1248521227E+002  0.3822484493E+000
  0.1250697520E+002  0.3116044880E+000
  0.1252450754E+002  0.2476232864E+000
  0.1253823598E+002  0.1905573278E+000
  0.1254860222E+002  0.1406318063E+000
  0.1255606123E+002  0.9804373838E-001
  0.1256107945E+002  0.6296118540E-001
  0.1256413294E+002  0.3552259041E-001
  0.1256570554E+002  0.1583623184E-001
  0.1256628690E+002  0.3979796123E-002
  0.1256637061E+002  0.7123944212E-007
