 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.301E+03
 0.103E+00 0.305E+03
 0.120E+00 0.329E+03
 0.146E+00 0.364E+03
 0.179E+00 0.402E+03
 0.218E+00 0.441E+03
 0.267E+00 0.482E+03
 0.326E+00 0.523E+03
 0.398E+00 0.563E+03
 0.486E+00 0.598E+03
 0.593E+00 0.627E+03
 0.725E+00 0.645E+03
 0.885E+00 0.650E+03
 0.108E+01 0.641E+03
 0.132E+01 0.617E+03
 0.161E+01 0.582E+03
 0.195E+01 0.540E+03
 0.233E+01 0.497E+03
 0.275E+01 0.454E+03
 0.322E+01 0.413E+03
 0.375E+01 0.375E+03
 0.436E+01 0.339E+03
 0.505E+01 0.307E+03
 0.584E+01 0.277E+03
 0.675E+01 0.250E+03
 0.779E+01 0.225E+03
 0.900E+01 0.203E+03
 0.104E+02 0.183E+03
 0.120E+02 0.166E+03
 0.139E+02 0.150E+03
 0.161E+02 0.135E+03
 0.186E+02 0.122E+03
 0.215E+02 0.110E+03
 0.247E+02 0.987E+02
 0.283E+02 0.886E+02
 0.323E+02 0.793E+02
 0.368E+02 0.708E+02
 0.418E+02 0.632E+02
 0.474E+02 0.563E+02
 0.537E+02 0.502E+02
 0.609E+02 0.447E+02
 0.691E+02 0.399E+02
 0.786E+02 0.356E+02
 0.897E+02 0.319E+02
 0.103E+03 0.286E+02
 0.118E+03 0.258E+02
 0.137E+03 0.233E+02
 0.159E+03 0.212E+02
 0.187E+03 0.194E+02
 0.222E+03 0.178E+02
 0.266E+03 0.165E+02
 0.324E+03 0.154E+02
 0.395E+03 0.146E+02
 0.483E+03 0.141E+02
 0.589E+03 0.137E+02
 0.719E+03 0.134E+02
 0.876E+03 0.132E+02
 0.107E+04 0.130E+02
 0.130E+04 0.130E+02
 0.159E+04 0.130E+02
 0.193E+04 0.132E+02
 0.235E+04 0.135E+02
 0.287E+04 0.140E+02
 0.349E+04 0.145E+02
 0.426E+04 0.151E+02
 0.521E+04 0.158E+02
 0.637E+04 0.165E+02
 0.778E+04 0.172E+02
 0.951E+04 0.179E+02
 0.116E+05 0.187E+02
 0.142E+05 0.194E+02
 0.174E+05 0.201E+02
 0.212E+05 0.209E+02
 0.259E+05 0.218E+02
 0.316E+05 0.228E+02
 0.386E+05 0.238E+02
 0.472E+05 0.248E+02
 0.577E+05 0.260E+02
 0.705E+05 0.272E+02
 0.861E+05 0.284E+02
 0.105E+06 0.297E+02
 0.129E+06 0.310E+02
 0.157E+06 0.324E+02
 0.192E+06 0.338E+02
 0.235E+06 0.352E+02
 0.287E+06 0.366E+02
 0.351E+06 0.380E+02
 0.429E+06 0.392E+02
 0.524E+06 0.404E+02
 0.641E+06 0.414E+02
 0.784E+06 0.424E+02
