  0.0000E+00  0.0000E+00
  0.1000E-01  0.3170E+00
  0.2000E-01  0.6326E+00
  0.3000E-01  0.9451E+00
  0.4000E-01  0.1253E+01
  0.5000E-01  0.1556E+01
  0.6000E-01  0.1852E+01
  0.7000E-01  0.2141E+01
  0.8000E-01  0.2422E+01
  0.9000E-01  0.2696E+01
  0.1000E+00  0.2962E+01
  0.1100E+00  0.3220E+01
  0.1200E+00  0.3472E+01
  0.1300E+00  0.3717E+01
  0.1400E+00  0.3958E+01
  0.1500E+00  0.4194E+01
  0.1600E+00  0.4428E+01
  0.1700E+00  0.4659E+01
  0.1800E+00  0.4890E+01
  0.1900E+00  0.5120E+01
  0.2000E+00  0.5350E+01
  0.2100E+00  0.5581E+01
  0.2200E+00  0.5812E+01
  0.2300E+00  0.6044E+01
  0.2400E+00  0.6276E+01
  0.2500E+00  0.6508E+01
  0.2600E+00  0.6737E+01
  0.2700E+00  0.6964E+01
  0.2800E+00  0.7187E+01
  0.2900E+00  0.7405E+01
  0.3000E+00  0.7615E+01
  0.3100E+00  0.7817E+01
  0.3200E+00  0.8009E+01
  0.3300E+00  0.8190E+01
  0.3400E+00  0.8358E+01
  0.3500E+00  0.8513E+01
  0.3600E+00  0.8653E+01
  0.3700E+00  0.8779E+01
  0.3800E+00  0.8890E+01
  0.3900E+00  0.8986E+01
  0.4000E+00  0.9067E+01
  0.4100E+00  0.9134E+01
  0.4200E+00  0.9186E+01
  0.4300E+00  0.9226E+01
  0.4400E+00  0.9253E+01
  0.4500E+00  0.9269E+01
  0.4600E+00  0.9274E+01
  0.4700E+00  0.9270E+01
  0.4800E+00  0.9258E+01
  0.4900E+00  0.9238E+01
  0.5000E+00  0.9211E+01
  0.5100E+00  0.9177E+01
  0.5200E+00  0.9138E+01
  0.5300E+00  0.9094E+01
  0.5400E+00  0.9044E+01
  0.5500E+00  0.8989E+01
  0.5600E+00  0.8929E+01
  0.5700E+00  0.8864E+01
  0.5800E+00  0.8793E+01
  0.5900E+00  0.8717E+01
  0.6000E+00  0.8635E+01
  0.6100E+00  0.8547E+01
  0.6200E+00  0.8451E+01
  0.6300E+00  0.8349E+01
  0.6400E+00  0.8240E+01
  0.6500E+00  0.8123E+01
  0.6600E+00  0.7999E+01
  0.6700E+00  0.7866E+01
  0.6800E+00  0.7726E+01
  0.6900E+00  0.7577E+01
  0.7000E+00  0.7421E+01
  0.7100E+00  0.7256E+01
  0.7200E+00  0.7083E+01
  0.7300E+00  0.6902E+01
  0.7400E+00  0.6714E+01
  0.7500E+00  0.6518E+01
  0.7600E+00  0.6315E+01
  0.7700E+00  0.6105E+01
  0.7800E+00  0.5888E+01
  0.7900E+00  0.5664E+01
  0.8000E+00  0.5435E+01
  0.8100E+00  0.5199E+01
  0.8200E+00  0.4958E+01
  0.8300E+00  0.4712E+01
  0.8400E+00  0.4460E+01
  0.8500E+00  0.4204E+01
  0.8600E+00  0.3944E+01
  0.8700E+00  0.3679E+01
  0.8800E+00  0.3410E+01
  0.8900E+00  0.3139E+01
  0.9000E+00  0.2863E+01
  0.9100E+00  0.2585E+01
  0.9200E+00  0.2305E+01
  0.9300E+00  0.2022E+01
  0.9400E+00  0.1737E+01
  0.9500E+00  0.1450E+01
  0.9600E+00  0.1162E+01
  0.9700E+00  0.8723E+00
  0.9800E+00  0.5820E+00
  0.9900E+00  0.2911E+00
  0.1000E+01  0.0000E+00
