   1.0000000000000000E-003   7.7293869018554684        2.3438519650774274E-004   3.1684490970516443E-004   3.5664542508364436E-015   1.7425634226315438E-015   4.2273121715690241E-005   1.2244139608359046E-005   2.3933771998975870E-014   8.4839677350061859E-008   2.8866066097642312E-034   2.4671417579345188E-004   6.0574736754408936E-004   2.9114957973941241E-005   3.4465227109406283E-005   5.2325347113853666E-006   1.0641070205965302E-003   5.2309635733385063E-032   1.3458654179142402E-032   6.2216984359806834E-045   5.4152139106714609E-012   2.2130412229894195E-005   2.6466070657724992E-005   7.6264666239930076E-003  -7.9938458363394106E-007   2.3131057395297445E-003   6.8029524282885211E-004   1.4848918667098671E-010
   1.2589254117941675E-003   7.3479175567626953        2.2408122308935894E-004   4.6987636397633354E-004   7.1715062233488876E-015   2.4225017384084845E-015   5.5713530397527765E-005   1.2919635372885702E-005   2.9880702218035860E-014   1.0680685648991728E-007   9.1993256820831952E-034   2.3710766531873456E-004   7.6259075285044903E-004   1.8932551533513316E-005   4.3636069873945694E-005   9.5585448967722639E-006   1.2569222620543079E-003   1.9700339859402261E-031   6.0636592258782368E-032   3.5022087710711284E-044   9.9363510381986372E-012   1.9851590893611337E-005   2.4150935767747887E-005   3.6120310507374489E-003  -7.3775424580514600E-007   2.8502733416036754E-003   9.9565121642070944E-004   2.9858538801142507E-010
   1.5848931924611141E-003   7.7293869018554684        2.6786065901434968E-004   6.0578018232797335E-004   1.0820290955482917E-014   3.8117728520763358E-015   7.2128744929611700E-005   1.4275291639873976E-005   4.3399285729055132E-014   1.3446189245231674E-007   2.1997798584118852E-033   2.8227041254667601E-004   9.6004487793344920E-004   6.3214307276403305E-005   6.4253351608873618E-005   1.5855518355184855E-005   1.8277549599337124E-003   6.3178928092361358E-031   1.9609276974312097E-031   1.4384767879146898E-043   1.8787113425391041E-011   2.8936067708210317E-005   3.4605049583654780E-005   7.6264666239930076E-003  -7.9938458363394106E-007   4.0788051376690754E-003   1.2841967763709036E-003   4.5050240113027446E-010
   1.9952623149688807E-003   7.7293869018554684        2.9946008902456120E-004   8.0038856723854679E-004   1.8014680854801489E-014   5.6315186834091972E-015   9.2775191772300167E-005   1.6001045683981715E-005   6.1093657921883187E-014   1.6927751888963165E-007   5.8043033059579427E-033   3.1563041222743254E-004   1.2086248937554190E-003   9.3872593527927718E-005   9.1568775400800319E-005   2.6373408390431654E-005   2.4598098331787550E-003   2.0986620104572615E-030   6.8362553002444901E-031   6.3191893545708704E-043   3.4972152429141539E-011   3.6172873772629383E-005   4.3259647548099642E-005   7.6264666239930076E-003  -7.9938458363394106E-007   5.6103686056489755E-003   1.6919647669163241E-003   7.5004055011766995E-010
   2.5118864315095820E-003   7.7293869018554684        3.2119122972936885E-004   1.0634361887499847E-003   3.0153456031875003E-014   8.0689276773141901E-015   1.1796895446682676E-004   1.8972215187582513E-005   8.2942466695781070E-014   2.1310779293962894E-007   1.5397005710025121E-032   3.4037655270989097E-004   1.5215685881940697E-003   1.3606428346648038E-004   1.2660942771517805E-004   4.4114038459345773E-005   3.2395587719394867E-003   7.0085466060365836E-030   2.4094338315126327E-030   2.8058087465807698E-042   6.2967978183679383E-011   4.1839697376355567E-005   5.0036681448014384E-005   7.6264666239930076E-003  -7.9938458363394106E-007   7.4986150238776491E-003   2.2379948331098876E-003   1.2554379915128237E-009
   3.1622776601683824E-003   9.2552642822265625        4.7836545220330715E-004   1.2647771927813366E-003   3.4871965932111804E-014   1.5279768077492372E-014   1.5362931342587788E-004   1.8769405129894390E-005   1.3646305393914644E-013   2.6828700806963630E-007   2.8221839328035046E-032   4.9740314434127124E-004   1.9155413636101600E-003   2.8250531430550302E-003   2.1126374831764879E-004   7.1332513246413794E-005   5.9196486705474704E-003   2.0257225786549887E-029   6.1653481485848649E-030   9.2885395946478163E-042   1.2622395771761613E-010   9.9187320590037763E-005   1.1149137399071818E-004   5.3929816412600771E-002  -5.2923600839207918E-007   1.2387289207602660E-002   2.6869583650996967E-003   1.4518929711949094E-009
   3.9810717055349778E-003   8.1108562469482415        4.1853146192826531E-004   1.7759551106035448E-003   7.4576418799931827E-014   1.7993249281058452E-014   1.9190507988555986E-004   2.5132047892657928E-005   1.6642956101491475E-013   3.3775338506965879E-007   9.5645062505753699E-032   4.4400126320599288E-004   2.4115237004591807E-003   6.1722351721972362E-004   2.6343159909833345E-004   1.1919781830530571E-004   6.2565415903809490E-003   7.3283220966673141E-029   2.6127774344077919E-029   4.8678683257846197E-041   2.1252531684470542E-010   7.2761152931352847E-005   8.5599138179035791E-005   1.3662981894866272E-002  -8.3484446100261750E-007   1.4551955025250573E-002   3.7278159519943095E-003   3.1049863515954574E-009
   5.0118723362727298E-003   8.2062235832214352        4.6521948169833325E-004   2.2974754292085287E-003   1.1954605370980091E-013   2.6117751565817402E-014   2.4348381496523358E-004   2.9749740611110744E-005   2.3208650980913293E-013   4.2520636512968744E-007   2.4297647880575346E-031   4.9539442867457372E-004   3.0359284667222982E-003   1.0729352695324967E-003   3.7547440832635053E-004   1.9510107420893543E-004   8.4903935723882155E-003   2.3782144810908347E-028   8.6779664833373854E-029   2.0411181266350523E-040   3.8360577437070889E-010   9.0741157600376032E-005   1.0632531336426826E-004   1.5579696516694563E-002  -8.3742378429888225E-007   1.9946857590633110E-002   4.8134661444270282E-003   4.9772953854465408E-009
   6.3095734448019424E-003   8.3969582557678226        5.3073497170659045E-004   2.9472918585178370E-003   1.8699718885334286E-013   3.8643820849466400E-014   3.1012057596205739E-004   3.3860091150831103E-005   3.2859525955950331E-013   5.3530388009147593E-007   6.0233166595521609E-031   5.6513036673751303E-004   3.8220074977113098E-003   2.2088578450091792E-003   5.4364785712977424E-004   3.1819790834806977E-004   1.1784527174941257E-002   7.6382634033832200E-028   2.8171700051368909E-028   8.3803363142881089E-040   6.9911122142621926E-010   1.1938656112661338E-004   1.3879195410163820E-004   2.0008462932509959E-002  -8.3236741955539520E-007   2.7780763611592343E-002   6.1706792456112259E-003   7.7856208238424895E-009
   7.9432823472428294E-003   8.5876929283142101        6.0648289839664103E-004   3.7720934539483509E-003   2.9212248050878214E-013   5.7100750512644940E-014   3.9467438736697679E-004   3.8371616197427599E-005   4.6599390251495606E-013   6.7390768032620004E-007   1.4911914056707630E-030   6.4552842227439474E-004   4.8116223564936417E-003   4.4857612850595302E-003   7.8960568169931329E-004   5.1763085986193072E-004   1.6365355199498888E-002   2.4484101434049369E-027   9.1058394487889575E-028   3.4260216908585156E-039   1.2732570054497706E-009   1.5750384313289713E-004   1.8169488291808089E-004   2.5351827010124808E-002  -8.1054238793482265E-007   3.8742310797592161E-002   7.8933166607490727E-003   1.2162508331317294E-008
   1.0000000000000021E-002   8.7784276008605957        6.9143695882316596E-004   4.8208640862419253E-003   4.5611410271618558E-013   8.4047578155016355E-014   5.0166949099134182E-004   4.3503125896241505E-005   6.5963381208027618E-013   8.4839950341001551E-007   3.6898197501883964E-030   7.3578848422281747E-004   6.0574736628649034E-003   8.9768631833963986E-003   1.1473986452741533E-003   8.4067672712859578E-004   2.2692059940563315E-002   7.8393446954344557E-027   2.9356292551003048E-027   1.3969730741086290E-038   2.3107679607176754E-009   2.0681874974334442E-004   2.3678144653268817E-004   3.1776361154256728E-002  -7.6749566900182263E-007   5.3949519939446244E-002   1.0082741482895880E-002   1.8990293265533683E-008
   1.2589254117941701E-002   8.9691622734069831        7.8874198774102659E-004   6.1508338880385599E-003   7.1151584947813679E-013   1.2351543919776019E-013   6.3713945988506113E-004   4.9192200580450394E-005   9.3438370261123453E-013   1.0680716897519663E-006   9.1217271537723395E-030   8.3900226001122895E-004   7.6259075376681308E-003   1.7747849988520498E-002   1.6717169682625940E-003   1.3627363635941307E-003   3.1464715183261223E-002   2.5062189234852479E-026   9.4337252918322232E-027   5.6772765445392844E-038   4.1886405977500901E-009   2.7177707889097867E-004   3.0884304098933665E-004   3.9477038419157076E-002  -6.9787269160535651E-007   7.5163050183332553E-002   1.2858797312986973E-002   2.9623935248221950E-008
