stime,Mtot,MtotHI,MtotH2,MtotCO,MtotHe,Mtotp,MtotCO,MtotCp,MtotC,ntotH,ntotCsp,ntotHI,ntotH2,ntotCO,ntotHe,ntotp,ntotCO,ntotCp,ntotC
14.0,351507.73179239675,163807.3386057714,88197.29065028491,107.84976735281774,99347.72525762743,155.3772795821888,107.84976735281774,401.503684986957,13.055555767351454,8662749.330454744,1599.9325334020891,6825305.775240475,1837443.5552142684,160.49072522740732,1034872.1381002857,6474.053315924534,160.49072522740732,1394.1100173158227,45.331790858859215
15.0,375018.5143277343,168194.7406125563,100677.40015139082,134.3415442980458,105992.64459162038,153.72897276247252,134.3415442980458,416.4509478770695,17.57408809283497,9105560.028677154,1706.9443872437837,7008114.192189846,2097445.8364873086,199.9130123482824,1104090.047829379,6405.373865103022,199.9130123482824,1446.0102356842688,61.02113921123251
16.0,399756.58249995793,172158.8651619031,114454.72879273191,170.29436158517038,112984.42272094676,158.56582501009336,170.29436158517038,427.91405961738656,23.130664325356125,9557759.564927876,1819.5417422394394,7173286.0484126285,2384473.5165152485,253.41422854936067,1176921.070009862,6606.909375420557,253.41422854936067,1485.8127070048145,80.31480668526433
17.0,422975.7288030161,173015.4805261044,130254.71978629245,220.64197959134978,119546.91064509038,158.61783721457277,220.64197959134978,431.01380473157735,28.89017814394692,9922618.350802109,1925.2251085826977,7208978.355254349,2713639.9955477603,328.3362791537943,1245280.3192196914,6609.076550607198,328.3362791537943,1496.5757108735322,100.31311855537123
18.0,447097.8823084963,172988.65841511879,147580.61746335748,277.3149849488756,126364.61651960429,163.9899099455623,277.3149849488756,432.451981917615,34.78403178980828,10282456.964449897,2035.0183783723164,7207860.767296617,3074596.197153281,412.6711085548744,1316298.088745878,6832.912914398427,412.6711085548744,1501.5693816583855,120.77788815905652
19.0,469960.2346312432,170510.59046232403,166462.21850459426,340.0608016247024,132826.27543233574,161.1502597060857,340.0608016247024,428.1354499629093,42.17831748104545,10572570.821442546,2139.076774296523,7104607.935930167,3467962.8855123795,506.04285956056907,1383607.0357534972,6714.594154420239,506.04285956056907,1486.581423482324,146.45249125363003
20.0,493372.282665733,166237.4465373702,187525.8932475909,412.2813172563346,139443.2890004475,165.65389053186732,412.2813172563346,418.7759896739567,51.27504445556318,10833349.71504857,2245.635511247839,6926560.272390426,3906789.4426581436,613.5138649647837,1452534.2604213282,6902.245438827805,613.5138649647837,1454.0832974790164,178.03834880403883
21.0,515580.2396011933,159389.7759964616,210307.70202015707,498.73982811371684,145720.01370871515,162.74784937250345,498.73982811371684,400.98236549785383,61.12645389711871,11022651.125272505,2346.716875052559,6641240.666519232,4381410.458753272,742.1723632644596,1517916.809465783,6781.160390520978,742.1723632644596,1392.2998802008815,212.2446315872177
22.0,537717.2131835169,151986.6871460773,233586.59094482433,592.4334376595871,151976.58549772773,167.34953424452465,592.4334376595871,380.1920760131369,70.77948569023886,11199165.94243706,2447.4708556063447,6332778.631086555,4866387.311350506,881.5973774696234,1583089.4322679972,6972.897260188526,881.5973774696234,1320.1113750456138,245.76210309110715
23.0,559445.8593441782,142928.4337315452,258235.3183662788,690.3517111301101,158117.55366599018,164.55350200854005,690.3517111301101,357.67868143385203,79.80883742842131,11335253.87144519,2546.3629788820654,5955351.405481049,5379902.465964142,1027.3090939436163,1647057.8506873979,6856.395917022502,1027.3090939436163,1241.9398660897639,277.11401884868513
24.0,581056.8808665755,134707.820015629,281954.73144903756,786.1765541496233,164225.42974322377,168.8999154510663,786.1765541496233,335.672044127921,89.07429404560261,11486882.739172826,2644.7192607458014,5612825.833984543,5874056.905188283,1169.9055865321775,1710681.5598252474,7037.496477127763,1169.9055865321775,1165.5279309997259,309.285743213898
25.0,603256.5146675794,126254.73843949726,306336.4513240059,895.9129365542042,170499.79906499726,165.52542198938244,895.9129365542042,310.1005876253456,96.71548104188116,11642623.504229173,2745.7595686176587,5260614.101645718,6382009.402583456,1333.2037746342323,1776039.5735937215,6896.892582890935,1333.2037746342323,1076.7381514768945,335.8176425065318
