nth,ntotHI,ntotH2,ntotp,ntotCO,ntotCp,ntotC,ntotHe
10.0,5355068.352138106,5830792.5918973945,6624.85670966819,1169.9020830778657,1113.0603704730338,309.25205279093836,1676730.3294017809
30.0,2322650.1376933674,5513262.989455603,1014.7104055413046,1169.792147819756,554.6913929722299,308.23290000893815,1314959.179207848
50.0,1490225.8479432198,5386853.753825252,289.2526450904969,1169.5614039072918,390.5043870586726,307.09890616820604,1208005.1837415337
100.0,1049121.2563003069,5201201.856485171,118.07344986221715,1168.2032563251714,270.21624311315406,304.3963009705112,1127987.5754954955
300.0,664485.1517942683,4785571.927755663,60.29067333536593,1147.9647716639213,115.21039058107962,292.882732021689,1008276.5516136376
500.0,534130.2299783425,4545567.840711451,48.87348623509109,1113.4501148857028,65.61619363108076,284.121910569755,948189.5138564092
1000.0,342199.5380184071,4094029.3808835833,34.51151943054034,1008.8274182627631,23.667331615685946,264.7065339532531,840384.1987995034
3000.0,77871.03103803817,2968116.6817217674,13.995998236919494,713.2805260520875,4.372575620679338,197.463808596407,592556.3044775054
5000.0,28102.24572822773,2295023.3341152854,8.459785987105853,548.9261172294952,2.0044892525332076,151.93214048429653,455023.499509016
10000.0,3563.0331320009036,1390464.2594134202,4.040178507525027,335.62503172057666,0.43757104796902213,87.78347022290328,274343.1755117375
