 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.300E+03
 0.100E+00 0.302E+03
 0.108E+00 0.362E+03
 0.125E+00 0.486E+03
 0.152E+00 0.665E+03
 0.186E+00 0.868E+03
 0.227E+00 0.109E+04
 0.277E+00 0.134E+04
 0.338E+00 0.162E+04
 0.413E+00 0.193E+04
 0.504E+00 0.227E+04
 0.616E+00 0.266E+04
 0.752E+00 0.310E+04
 0.919E+00 0.359E+04
 0.112E+01 0.415E+04
 0.137E+01 0.478E+04
 0.167E+01 0.549E+04
 0.204E+01 0.628E+04
 0.250E+01 0.711E+04
 0.305E+01 0.770E+04
 0.373E+01 0.784E+04
 0.426E+01 0.691E+04
 0.454E+01 0.585E+04
 0.474E+01 0.493E+04
 0.496E+01 0.417E+04
 0.525E+01 0.358E+04
 0.570E+01 0.313E+04
 0.647E+01 0.281E+04
 0.760E+01 0.257E+04
 0.898E+01 0.235E+04
 0.105E+02 0.214E+04
 0.123E+02 0.194E+04
 0.144E+02 0.176E+04
 0.167E+02 0.160E+04
 0.195E+02 0.145E+04
 0.227E+02 0.132E+04
 0.264E+02 0.119E+04
 0.307E+02 0.108E+04
 0.357E+02 0.980E+03
 0.415E+02 0.887E+03
 0.481E+02 0.802E+03
 0.557E+02 0.724E+03
 0.644E+02 0.654E+03
 0.744E+02 0.590E+03
 0.859E+02 0.532E+03
 0.992E+02 0.480E+03
 0.115E+03 0.433E+03
 0.133E+03 0.391E+03
 0.153E+03 0.353E+03
 0.178E+03 0.320E+03
 0.207E+03 0.289E+03
 0.241E+03 0.262E+03
 0.281E+03 0.238E+03
 0.327E+03 0.216E+03
 0.383E+03 0.197E+03
 0.447E+03 0.179E+03
 0.523E+03 0.162E+03
 0.609E+03 0.147E+03
 0.707E+03 0.133E+03
 0.814E+03 0.120E+03
 0.928E+03 0.107E+03
 0.105E+04 0.948E+02
 0.117E+04 0.834E+02
 0.129E+04 0.730E+02
 0.142E+04 0.638E+02
 0.156E+04 0.558E+02
 0.174E+04 0.492E+02
 0.196E+04 0.438E+02
 0.225E+04 0.395E+02
 0.266E+04 0.363E+02
 0.323E+04 0.340E+02
 0.395E+04 0.324E+02
 0.482E+04 0.313E+02
 0.588E+04 0.304E+02
 0.718E+04 0.296E+02
 0.877E+04 0.289E+02
 0.107E+05 0.283E+02
 0.131E+05 0.278E+02
 0.159E+05 0.274E+02
 0.194E+05 0.270E+02
 0.237E+05 0.268E+02
 0.290E+05 0.267E+02
 0.353E+05 0.267E+02
 0.431E+05 0.267E+02
 0.526E+05 0.269E+02
 0.641E+05 0.272E+02
 0.782E+05 0.277E+02
 0.954E+05 0.282E+02
 0.116E+06 0.289E+02
 0.142E+06 0.298E+02
 0.173E+06 0.308E+02
 0.211E+06 0.320E+02
 0.258E+06 0.333E+02
