  0.190E+05  0.338E-07  0.242E-05  0.373E-09  0.334E-07
  0.232E+05  0.338E-07  0.292E-05  0.318E-09  0.335E-07
  0.283E+05  0.338E-07  0.353E-05  0.271E-09  0.336E-07
  0.346E+05  0.339E-07  0.427E-05  0.231E-09  0.336E-07
  0.422E+05  0.339E-07  0.515E-05  0.197E-09  0.337E-07
  0.515E+05  0.339E-07  0.622E-05  0.168E-09  0.337E-07
  0.629E+05  0.339E-07  0.751E-05  0.144E-09  0.338E-07
  0.767E+05  0.340E-07  0.906E-05  0.124E-09  0.338E-07
  0.937E+05  0.340E-07  0.109E-04  0.107E-09  0.339E-07
  0.114E+06  0.341E-07  0.131E-04  0.933E-10  0.340E-07
  0.140E+06  0.341E-07  0.156E-04  0.821E-10  0.340E-07
  0.170E+06  0.341E-07  0.185E-04  0.732E-10  0.341E-07
  0.208E+06  0.342E-07  0.218E-04  0.663E-10  0.341E-07
  0.254E+06  0.343E-07  0.254E-04  0.611E-10  0.342E-07
  0.309E+06  0.343E-07  0.295E-04  0.576E-10  0.343E-07
  0.378E+06  0.344E-07  0.338E-04  0.555E-10  0.343E-07
  0.461E+06  0.344E-07  0.385E-04  0.546E-10  0.344E-07
  0.562E+06  0.345E-07  0.436E-04  0.547E-10  0.344E-07
  0.686E+06  0.345E-07  0.492E-04  0.554E-10  0.345E-07
  0.838E+06  0.346E-07  0.553E-04  0.567E-10  0.345E-07
  0.102E+07  0.346E-07  0.616E-04  0.587E-10  0.346E-07
  0.125E+07  0.347E-07  0.677E-04  0.617E-10  0.346E-07
  0.153E+07  0.347E-07  0.734E-04  0.661E-10  0.347E-07
  0.186E+07  0.348E-07  0.786E-04  0.718E-10  0.347E-07
  0.228E+07  0.349E-07  0.832E-04  0.789E-10  0.348E-07
  0.278E+07  0.349E-07  0.874E-04  0.873E-10  0.349E-07
  0.340E+07  0.350E-07  0.911E-04  0.968E-10  0.349E-07
  0.415E+07  0.351E-07  0.944E-04  0.107E-09  0.350E-07
  0.508E+07  0.351E-07  0.974E-04  0.119E-09  0.350E-07
  0.620E+07  0.352E-07  0.100E-03  0.132E-09  0.351E-07
  0.758E+07  0.353E-07  0.102E-03  0.145E-09  0.351E-07
  0.926E+07  0.353E-07  0.105E-03  0.159E-09  0.352E-07
  0.113E+08  0.354E-07  0.106E-03  0.174E-09  0.352E-07
  0.138E+08  0.354E-07  0.108E-03  0.190E-09  0.353E-07
  0.169E+08  0.355E-07  0.110E-03  0.207E-09  0.353E-07
  0.206E+08  0.356E-07  0.111E-03  0.224E-09  0.353E-07
  0.252E+08  0.356E-07  0.113E-03  0.241E-09  0.354E-07
  0.308E+08  0.357E-07  0.114E-03  0.259E-09  0.354E-07
  0.376E+08  0.357E-07  0.115E-03  0.276E-09  0.354E-07
  0.460E+08  0.357E-07  0.115E-03  0.293E-09  0.355E-07
  0.561E+08  0.358E-07  0.116E-03  0.310E-09  0.355E-07
  0.686E+08  0.358E-07  0.116E-03  0.325E-09  0.355E-07
  0.838E+08  0.359E-07  0.115E-03  0.338E-09  0.355E-07
  0.102E+09  0.359E-07  0.111E-03  0.345E-09  0.355E-07
  0.125E+09  0.359E-07  0.900E-04  0.327E-09  0.355E-07
  0.153E+09  0.357E-07  0.592E-04  0.110E-09  0.356E-07
  0.187E+09  0.356E-07  0.586E-04  0.467E-11  0.356E-07
  0.229E+09  0.356E-07  0.600E-04  0.656E-12  0.356E-07
  0.279E+09  0.356E-07  0.610E-04  0.310E-12  0.356E-07
  0.341E+09  0.356E-07  0.612E-04  0.181E-12  0.356E-07
  0.417E+09  0.356E-07  0.608E-04  0.115E-12  0.356E-07
