 0.100E+00 0.300E+03 0.100E+02 0.449E-14
 0.100E+00 0.300E+03 0.100E+02 0.449E-14
 0.100E+00 0.300E+03 0.100E+02 0.449E-14
 0.100E+00 0.300E+03 0.100E+02 0.449E-14
 0.100E+00 0.300E+03 0.100E+02 0.449E-14
 0.100E+00 0.300E+03 0.100E+02 0.449E-14
 0.100E+00 0.300E+03 0.100E+02 0.449E-14
 0.100E+00 0.300E+03 0.100E+02 0.449E-14
 0.100E+00 0.300E+03 0.100E+02 0.449E-14
 0.100E+00 0.300E+03 0.100E+02 0.449E-14
 0.100E+00 0.300E+03 0.100E+02 0.449E-14
 0.100E+00 0.300E+03 0.100E+02 0.449E-14
 0.100E+00 0.300E+03 0.100E+02 0.449E-14
 0.100E+00 0.300E+03 0.100E+02 0.449E-14
 0.100E+00 0.305E+03 0.100E+02 0.458E-14
 0.104E+00 0.390E+03 0.100E+02 0.607E-14
 0.107E+00 0.485E+03 0.100E+02 0.776E-14
 0.110E+00 0.603E+03 0.100E+02 0.993E-14
 0.113E+00 0.752E+03 0.100E+02 0.128E-13
 0.118E+00 0.940E+03 0.100E+02 0.166E-13
 0.123E+00 0.118E+04 0.100E+02 0.218E-13
 0.131E+00 0.149E+04 0.100E+02 0.293E-13
 0.141E+00 0.191E+04 0.100E+02 0.404E-13
 0.156E+00 0.249E+04 0.100E+02 0.585E-13
 0.184E+00 0.336E+04 0.100E+02 0.929E-13
 0.225E+00 0.435E+04 0.100E+02 0.147E-12
 0.274E+00 0.519E+04 0.100E+02 0.214E-12
 0.335E+00 0.586E+04 0.100E+02 0.295E-12
 0.409E+00 0.632E+04 0.100E+02 0.389E-12
 0.500E+00 0.656E+04 0.100E+02 0.493E-12
 0.610E+00 0.658E+04 0.100E+02 0.603E-12
 0.746E+00 0.641E+04 0.100E+02 0.717E-12
 0.911E+00 0.606E+04 0.100E+02 0.829E-12
 0.110E+01 0.561E+04 0.100E+02 0.922E-12
 0.129E+01 0.511E+04 0.100E+02 0.988E-12
 0.149E+01 0.460E+04 0.100E+02 0.103E-11
 0.170E+01 0.411E+04 0.100E+02 0.104E-11
 0.191E+01 0.364E+04 0.100E+02 0.104E-11
 0.213E+01 0.320E+04 0.100E+02 0.102E-11
 0.236E+01 0.280E+04 0.100E+02 0.988E-12
 0.259E+01 0.244E+04 0.100E+02 0.945E-12
 0.282E+01 0.212E+04 0.100E+02 0.895E-12
 0.305E+01 0.182E+04 0.100E+02 0.832E-12
 0.326E+01 0.156E+04 0.100E+02 0.760E-12
 0.347E+01 0.133E+04 0.100E+02 0.692E-12
 0.369E+01 0.114E+04 0.100E+02 0.629E-12
 0.393E+01 0.972E+03 0.100E+02 0.571E-12
 0.418E+01 0.831E+03 0.100E+02 0.519E-12
 0.445E+01 0.710E+03 0.100E+02 0.473E-12
 0.474E+01 0.608E+03 0.100E+02 0.431E-12
 0.507E+01 0.522E+03 0.100E+02 0.396E-12
 0.545E+01 0.450E+03 0.100E+02 0.366E-12
 0.589E+01 0.389E+03 0.100E+02 0.343E-12
 0.643E+01 0.339E+03 0.100E+02 0.326E-12
 0.708E+01 0.297E+03 0.100E+02 0.314E-12
 0.788E+01 0.262E+03 0.100E+02 0.309E-12
 0.885E+01 0.232E+03 0.100E+02 0.307E-12
 0.100E+02 0.207E+03 0.100E+02 0.308E-12
 0.113E+02 0.184E+03 0.100E+02 0.312E-12
 0.129E+02 0.165E+03 0.100E+02 0.319E-12
 0.148E+02 0.148E+03 0.100E+02 0.327E-12
 0.170E+02 0.133E+03 0.100E+02 0.337E-12
 0.196E+02 0.120E+03 0.100E+02 0.349E-12
 0.226E+02 0.108E+03 0.100E+02 0.363E-12
 0.261E+02 0.978E+02 0.100E+02 0.379E-12
 0.303E+02 0.887E+02 0.100E+02 0.399E-12
 0.353E+02 0.807E+02 0.100E+02 0.423E-12
 0.414E+02 0.736E+02 0.100E+02 0.451E-12
 0.487E+02 0.673E+02 0.100E+02 0.485E-12
 0.575E+02 0.618E+02 0.100E+02 0.524E-12
 0.682E+02 0.569E+02 0.100E+02 0.571E-12
 0.812E+02 0.525E+02 0.100E+02 0.626E-12
 0.971E+02 0.486E+02 0.100E+02 0.692E-12
 0.117E+03 0.452E+02 0.100E+02 0.770E-12
 0.141E+03 0.421E+02 0.100E+02 0.862E-12
 0.170E+03 0.393E+02 0.100E+02 0.971E-12
 0.207E+03 0.369E+02 0.100E+02 0.110E-11
 0.252E+03 0.346E+02 0.100E+02 0.125E-11
 0.308E+03 0.327E+02 0.100E+02 0.144E-11
 0.376E+03 0.309E+02 0.100E+02 0.165E-11
 0.460E+03 0.293E+02 0.100E+02 0.190E-11
 0.561E+03 0.279E+02 0.100E+02 0.219E-11
 0.686E+03 0.267E+02 0.100E+02 0.254E-11
 0.837E+03 0.256E+02 0.100E+02 0.295E-11
 0.102E+04 0.246E+02 0.100E+02 0.343E-11
 0.125E+04 0.237E+02 0.100E+02 0.400E-11
 0.153E+04 0.229E+02 0.100E+02 0.468E-11
 0.186E+04 0.223E+02 0.100E+02 0.548E-11
 0.228E+04 0.217E+02 0.100E+02 0.643E-11
 0.278E+04 0.212E+02 0.100E+02 0.756E-11
 0.340E+04 0.207E+02 0.100E+02 0.892E-11
 0.415E+04 0.204E+02 0.100E+02 0.105E-10
 0.506E+04 0.201E+02 0.100E+02 0.125E-10
 0.618E+04 0.199E+02 0.100E+02 0.148E-10
 0.755E+04 0.197E+02 0.100E+02 0.176E-10
 0.922E+04 0.196E+02 0.100E+02 0.209E-10
 0.112E+05 0.196E+02 0.100E+02 0.250E-10
 0.137E+05 0.197E+02 0.100E+02 0.299E-10
 0.167E+05 0.200E+02 0.100E+02 0.360E-10
 0.204E+05 0.206E+02 0.100E+02 0.437E-10
 0.248E+05 0.216E+02 0.100E+02 0.537E-10
 0.302E+05 0.229E+02 0.100E+02 0.666E-10
 0.367E+05 0.245E+02 0.101E+02 0.829E-10
 0.456E+05 0.255E+02 0.101E+02 0.104E-09
 0.558E+05 0.254E+02 0.101E+02 0.124E-09
 0.683E+05 0.251E+02 0.101E+02 0.148E-09
 0.834E+05 0.247E+02 0.101E+02 0.176E-09
 0.102E+06 0.241E+02 0.101E+02 0.207E-09
 0.124E+06 0.232E+02 0.102E+02 0.242E-09
 0.152E+06 0.222E+02 0.102E+02 0.280E-09
 0.186E+06 0.211E+02 0.102E+02 0.322E-09
 0.227E+06 0.199E+02 0.102E+02 0.368E-09
 0.277E+06 0.187E+02 0.102E+02 0.422E-09
 0.336E+06 0.175E+02 0.102E+02 0.477E-09
 0.406E+06 0.163E+02 0.102E+02 0.536E-09
 0.491E+06 0.152E+02 0.102E+02 0.603E-09
 0.597E+06 0.142E+02 0.102E+02 0.684E-09
 0.728E+06 0.134E+02 0.102E+02 0.784E-09
 0.890E+06 0.127E+02 0.101E+02 0.908E-09
 0.109E+07 0.122E+02 0.101E+02 0.106E-08
 0.133E+07 0.118E+02 0.101E+02 0.126E-08
 0.162E+07 0.114E+02 0.101E+02 0.149E-08
 0.198E+07 0.112E+02 0.101E+02 0.178E-08
 0.241E+07 0.110E+02 0.101E+02 0.213E-08
 0.294E+07 0.109E+02 0.101E+02 0.257E-08
 0.359E+07 0.108E+02 0.101E+02 0.311E-08
