 0.100E+01 0.300E+03
 0.100E+01 0.300E+03
 0.100E+01 0.300E+03
 0.100E+01 0.300E+03
 0.100E+01 0.300E+03
 0.100E+01 0.300E+03
 0.100E+01 0.300E+03
 0.100E+01 0.300E+03
 0.100E+01 0.300E+03
 0.100E+01 0.300E+03
 0.100E+01 0.300E+03
 0.100E+01 0.300E+03
 0.100E+01 0.300E+03
 0.100E+01 0.300E+03
 0.103E+01 0.313E+03
 0.125E+01 0.435E+03
 0.152E+01 0.588E+03
 0.186E+01 0.744E+03
 0.227E+01 0.897E+03
 0.278E+01 0.105E+04
 0.339E+01 0.119E+04
 0.414E+01 0.132E+04
 0.506E+01 0.144E+04
 0.618E+01 0.154E+04
 0.755E+01 0.162E+04
 0.922E+01 0.167E+04
 0.112E+02 0.158E+04
 0.129E+02 0.142E+04
 0.147E+02 0.126E+04
 0.165E+02 0.112E+04
 0.185E+02 0.987E+03
 0.205E+02 0.868E+03
 0.227E+02 0.760E+03
 0.250E+02 0.663E+03
 0.273E+02 0.577E+03
 0.298E+02 0.500E+03
 0.324E+02 0.433E+03
 0.351E+02 0.374E+03
 0.380E+02 0.323E+03
 0.411E+02 0.279E+03
 0.443E+02 0.241E+03
 0.479E+02 0.208E+03
 0.518E+02 0.180E+03
 0.560E+02 0.155E+03
 0.608E+02 0.135E+03
 0.662E+02 0.117E+03
 0.725E+02 0.102E+03
 0.800E+02 0.893E+02
 0.891E+02 0.789E+02
 0.101E+03 0.702E+02
 0.115E+03 0.632E+02
 0.134E+03 0.574E+02
 0.158E+03 0.525E+02
 0.188E+03 0.484E+02
 0.226E+03 0.448E+02
 0.273E+03 0.417E+02
 0.331E+03 0.389E+02
 0.405E+03 0.365E+02
 0.494E+03 0.344E+02
 0.603E+03 0.326E+02
 0.737E+03 0.310E+02
 0.900E+03 0.297E+02
 0.110E+04 0.285E+02
 0.134E+04 0.274E+02
 0.164E+04 0.266E+02
 0.200E+04 0.258E+02
 0.244E+04 0.251E+02
 0.298E+04 0.246E+02
 0.364E+04 0.241E+02
 0.444E+04 0.238E+02
 0.542E+04 0.235E+02
 0.661E+04 0.234E+02
 0.807E+04 0.233E+02
 0.985E+04 0.234E+02
 0.120E+05 0.235E+02
 0.147E+05 0.238E+02
 0.179E+05 0.241E+02
 0.218E+05 0.246E+02
 0.266E+05 0.251E+02
 0.325E+05 0.258E+02
 0.397E+05 0.265E+02
 0.485E+05 0.273E+02
 0.593E+05 0.282E+02
 0.723E+05 0.291E+02
 0.879E+05 0.303E+02
 0.107E+06 0.326E+02
 0.132E+06 0.349E+02
 0.161E+06 0.362E+02
 0.197E+06 0.372E+02
 0.241E+06 0.381E+02
 0.295E+06 0.390E+02
 0.361E+06 0.398E+02
 0.441E+06 0.406E+02
 0.539E+06 0.412E+02
 0.658E+06 0.418E+02
 0.805E+06 0.423E+02
 0.983E+06 0.427E+02
 0.120E+07 0.430E+02
 0.147E+07 0.432E+02
 0.179E+07 0.433E+02
 0.219E+07 0.432E+02
 0.268E+07 0.430E+02
 0.328E+07 0.426E+02
 0.400E+07 0.421E+02
 0.489E+07 0.413E+02
 0.598E+07 0.403E+02
 0.730E+07 0.388E+02
 0.891E+07 0.371E+02
 0.109E+08 0.350E+02
 0.132E+08 0.328E+02
 0.159E+08 0.305E+02
 0.190E+08 0.283E+02
